iteration,epcis_ms,pin_ms,notarization_ms,gateway_ms,cid,tx_digest
1,1.98,807.65,1026.88,7164.49,QmddqtVEZF8JGGZPA38bL9Wt2VuLpgcuRYBHHrmtMhkv5B,CZ8wcTjNCLnRGaTsjUm7onXm3tvMLCSi77g5Z6LyydXu
2,0.06,813.00,1019.76,3487.09,QmPupXtwQmTXNi9MjZvYfxoqFo7VPxhyDdXizDyy3nAFk2,AwX9F8motX1hQXvCozm7QcqvbeDopzJDK8aR6VT3fM5W
3,0.04,412.01,1088.42,5156.91,QmU4MgnSJeqQ9BHCGBC2AhxNxGkbcyV1iosJuvv2oKM7eq,7EAhL7CJMZnuf7veBkykm9w87P4NmQFsoo4zNP5taRkG
4,0.08,817.98,858.98,4362.62,QmWJHbcWrk1Qv87GtH61tRBkLJLt4ai8YxB7X3mWEqP3rk,7PzkHwcNBuNUqZWNHegm5dfpd79C8FiQtRrk4noPDUam
5,0.05,717.34,1128.10,7575.61,QmXEKEj9Zv8jjbnJz9AGBJfYjtA7f21geqSfY4eHZeMSmB,76cccQ49kwRH75LAwfJrwmXHYjPnQXAQcqxcAu3pUTuq
6,0.03,717.65,3106.41,7235.70,QmSjbngzD9ZRjoDByaxkKxWtr1YqC2YAJGYpyfKcWvjuBU,5WiymzoAEs2TnAQuB7DMfgTcTSrKh9S9J1k6AR1wQMaH
7,0.05,613.39,1126.64,16337.76,QmPn96jscDaJXwjYBabvjf6CRXC88kuTjPyV8TpexLZ8He,DhFVMPXjkyUbfQtjg1pyLYKzPNfDqHnVryAWXdeXURsv
8,0.06,1379.27,3379.06,3892.95,QmQyjK4Du5vtNkoDCwSN3sUoyFLTyVE1hW3pdiEkNSawrg,B7iTMeoCGvoAYPA9136iHfcWogsSyc79YTkdYGajnRPC
9,0.06,817.59,3096.34,6427.81,QmVDaAf7q3HF7VRJy5o798D7A4h6J3ZFzac2S1DiaLQEUP,yP8fGY8qwXg2wWnfPfTju8vVWMLPoF9CcQvvQkvkTh2
10,0.06,822.14,1019.37,5497.83,QmdvFU9PQKhdT38CGYTXfFjDzdTx88woXkdUqQtM3TdqtK,6DvWB6h9JH4A9EGWFjkHBkSJNsjKYamYanPDinHyDSX3
11,0.05,849.21,1020.35,4832.31,QmVJ7LuDM2Qi8aXqsygEj3VS1oRJxkFGk7r16S1wMN123h,2g6aNAjk8ztzkAJaMFnPATCvuTv1PqHUbHxpzPWpcraU
12,0.03,1008.42,1951.29,7398.27,QmTSNQZLzWvGprEZXEoT7KB1pLjq5NQ26UBHZzidJ8kv8n,HM4yqMkpVJFHFDArbr4q82J1Q35e5yAVYA36woUZPyM3
13,0.04,991.65,1014.74,6590.39,QmV5fUeDwbJWgVRjU9u5zjNCmkjNm3wPnKXYrK5mrxtRcM,HA7QFAhBRd5cYPc1vwsR6HDvWSCfR9aWGvMSqnFYGqpU
14,0.03,661.48,1027.21,14260.83,QmZ1m2MXNkDxS26ZGBX8ZUiYBVuAZcYwwCAWEps65mCnPD,CFmGEWK9JXy143cEEX9dM2CLwxJbjaAo2songhD5fqZd
15,0.02,1331.56,3195.95,7047.22,QmSppbmFBqAXZmYKk4sL77yN2dnhbagh6AQe72SHh7CkAg,BWXqWebm7nJcc28pS3uXzQwB9DcwCMQLzGfkxuyo87mz
16,0.04,1021.47,1012.64,6770.67,QmNfahAisMaPtgX4a2EXAqxC9xSnMN3JN2b8uhYmywQeay,J5Gf1Sn6bJQcU6uRr2zJegK9TpViyCcPXk586rPF49aD
