iteration,epcis_ms,pin_ms,notarization_ms,gateway_ms,cid,tx_digest
1,2.13,776.50,868.49,27376.16,QmcwR28m4TBHz3pbPXiNWM25bFxdwhkPLzHkt8EsxxMHzp,212HwFuUWjsHQkW85FR7AyE1z9yf5evapyJTh29BMe7C
2,0.04,609.49,804.49,6408.37,QmR4Q9k2whGCuqz4EFuYM8sXputVYqQiaPbL4jfPzBrC52,8WUc8DXq2Dfumoh7DwHUMmcCC9K4yVE8gkv6wbFfJ5tZ
3,0.03,676.76,2822.84,4414.67,QmXLoxZeWfGePF1G8PNC2jDarKPGELekHJTXTkRq2NL8XH,5jDzMCj1MyPbi921dvpCTEZPMkEN2tFuwN8jFTWSm46Q
4,0.03,588.16,780.61,3648.68,QmTi6SstR1DxCBkefZah4nXvrNDWjnmoXhoiZkUkR8apd1,DDgN3fSp2g5LqeufPoTyzDgMgd5tGM59sLQDYx66kZjF
5,0.03,386.02,874.46,3632.90,QmNzCrFVU8s2VFcfgMjwgUTkzyXk5mo3beyGDqxWgA8PL1,5TpD7SazrKCvSC5heMhf6XTmAWyvkDxGYXcKndSfJ5XW
6,0.03,458.17,3036.51,4807.20,QmeUZhz4B6goPXrU1gbGMSWk51LAYysrYExtjy6cTWSdQo,BpgXSqB9DFMNGoCjNn9tnsXWax7aaS3t4LwRD1GskfYa
7,0.04,691.33,757.75,6428.46,QmUHxTtmEJwMBVDtx9sf2QHgYfhqLRgE9yfSDw1Hw3jXt4,DbhKTxKLssAF7AKTxV3y9HyYh5WbaVdH7qnFvJB4UEc5
8,0.03,634.93,832.22,4375.79,QmRWt9YtuhJVpopxZ6GB9oR9DMJ2G3ZKqGCnn8QwtTMcT6,DwXoWtxKpoDH6xaeV4bsMEwTGpq2ALn8fnpLuRGY9pjK
9,0.05,566.47,865.42,3684.14,QmQBFois7jT8pgxjET1rj1KRnT92D9VzdgbDZcYiyGw94E,3A8junJZofhAxWZcuXBLKKXQLSMjrZd2tDmyUfoQACUB
10,0.11,413.69,3135.73,3879.61,QmbSLgyx96K5vhsfXjthMi229b3N6GUXxzdHSnQ44omckk,E8jGa76apwidyFNPyMztZG6RvipggNNrQjmixfudgVJc
11,0.04,586.97,2941.84,3334.89,QmbpCFeovw2xazKnnCmnVwQWatjXNxVE1eRZhZmSEZBkzp,6ACwPPencJ7aQn2iJE1uYg8H1mWveRbcZxGGrUqMnniZ
12,0.03,591.22,820.14,3578.75,QmTLuAvKBdV7o5a6RkN466rzS1YUeP5w5CQK36bx9T6PJx,9Xs2aRcaRAhrGfB4VUyeG44hatetJYzoTJK9JPGzYu1B
13,0.03,660.02,2819.52,4068.71,QmV5F9gJR8z85Z9EYkoH3kdANSkSWxSC69HkqfqRZ1XKUC,9rPsh2vPW4BFK4UhDkzunk2BeKvbfziFt7toSS3oNaBZ
14,0.03,609.25,2984.26,5129.53,QmUAXF9QLYpFQJEELoUxCBUScu4x4kpy1ZPMQGw939B3Fp,7wSkgGz21oz768TQQugxnc9vyEqg1a2PZfdXnYwMC18o
15,0.03,686.22,2933.42,6339.80,QmRHptNfaC7S6WB7dVi1gumjXAw2nMLNwxq81fx6GF3wkM,4A6tKxUhyJC1MjgXupNcKfTHaJ1BZNBFNabDuDFzU9wD
16,0.02,619.58,844.16,5919.26,QmNn8cP2ik8ozh5WiWmcySNetk9ETngAN6bAshmhEXnvMM,F5sxv6dkUmpAGQa44DkorzRYC4ScruPghtcJFdrwod2
17,0.03,706.81,849.51,4279.27,QmZ7G23cEDsHxTdgzqfj95DT6XWFj7UcUk1UbjDwdfLFSm,H2tgBo6oxxtwuW7da963eieRvyEX9mq67GZDXbJTrwcz
18,0.03,551.01,807.46,4812.56,Qmdy6hxFvEr67YPGjuxW7xZMqiqjyC63Eep2HByqBhwHXv,67KGReDEZh8DbvHTHTWuMACpyh8Vh1qzuwXArVjTUjns
19,0.02,617.20,3002.83,4751.46,QmNdXZcQgsaK2oSTfnVQRuBMdbo8cEQA7ZiWNWYMNsZdgo,2YVaJvfASC3s82AriyszU41UyYkAZzkKHdE4G8rkiVUB
20,0.02,583.05,2800.39,5721.32,QmNt2VrTMrGdQVvCZTQkJ7oLREJq8uofTidcjvCrstkqDR,F5LeEBg9ezffeKHGfcwneTnCXxjsvwj71aBg2FG7qfXS
21,0.03,584.19,880.23,6321.68,QmQzM7ErSkERmmAB1FgDj3b6egePV1NHWbgcLm565NVanH,4dcEniFmukZUY6ZnRwf2bh3MvDaHomfR9WpsqCN3q4aM
22,0.03,629.81,820.15,7261.90,QmW5pUGuVVrqno6rjMChhCsXetPe3UPtYddvNtfd168xWm,D4yc1gKFaCLGCXpw9VjMwXgnCBjx9HpynMaM1TmoPn72
23,0.02,562.99,767.64,4923.79,QmPnMEZr1b7FgiUQHQLcESUDjdba4Hnp2W6LmufNLGpwmb,8VsowAvZ9QtUiSyWCbetrkvGo24LrbdwVFXD6pttdHzg
24,0.02,591.69,801.23,3375.12,QmdZREBzTPMG9nNp2e13chd6zkne3yALM6CjrhRmLUD7AX,8qFZ7rMxKZSW7NaBryMdbvM5TDBJP1ssbHCYxH2jYHwA
25,0.02,480.69,2870.51,4131.40,QmXKifmdkeFLSA957favM9SFeEYQvnVRh6QU4aSLtKWkX2,6HZ83J2HVTzCJb76aK2MrKxnRTH9MVXnr4jhEy7s43eW
26,0.02,629.91,880.43,4535.72,QmPLCejGQW3kPdS1Jz9YrVfx5DLdZRUCsrS2MfMTWeCLpU,65npiisHkaiqD2CuQXxcGMg3WMPubMVYckCJZRrB1W7C
27,0.04,1863.46,1475.96,7467.82,Qmba8HXydsM1reW4LCorCLBqhFASwa7kaRbr9RAzCKWyTr,73VAmLKLLVMWwFtQZoyn7hgzyfsPx23kh9XU6GFFmM3T
28,0.02,579.44,2907.93,4393.42,QmT7JyJJ39QJFF9aZHehswfeYzMBcb7xrWTo5m1NAs75oG,9q8B31uc5gHjQkbcC8iRqbW6AuiNsf4BTye6EZQJMfYg
29,0.02,582.11,2891.33,25938.44,QmRYo9MxRiH2JR9dvkAbGq1fazSAqWEy6mhgpxWQYqunaG,7pDb5PTNBsDFErNDdA5Lqniu2ywkjDG57v8xNHS3t3NW
30,0.02,596.38,2825.22,6539.63,QmbAzP6Dt63ZbBGASrPVJkW2EvnPJUAMdmn63v9TFXe8C7,DZvvTo8pqaaUpqoSvQjtjVDAkRLyzjja9fPdGP9vsQE3
31,0.04,675.13,1034.82,6811.44,QmfRDqYJTxbxmzmNqm6L9z3G9RJSPyRy6RAXqx7TY8mU3d,9ECUYeHDjLVv53exCsK3FGzq4nAh3uECGzYHEMZqDmCL
32,0.02,690.01,820.64,5189.35,QmXAskgv9Zg6ihhXme7dr7nypqEmRk6hPnNUDEtEHW7g3k,nE5xbFMrUytxqVE4xu2vwRGTr7mMiJK4LYYiCdVitTd
33,0.02,604.02,865.58,7362.44,QmSDBX2rzu5BpLtUv1UVk4RhRaUxYogAfzDSoU6jPGzPh1,DzdtsWUk5c3o9vrYr7R4d4FBhkTDn3H9ALXk6sx9cFkv
